 0         10000
           1        7952
           2        6359
           3        5038
           4        4028
           5        3242
           6        2564
           7        2038
           8        1661
           9        1325
          10        1078
          11         867
          12         678
          13         560
          14         461
          15         380
          16         303
          17         253
          18         206
          19         156
          20         126
          21         103
          22          90
          23          73
          24          56
          25          42
          26          38
          27          25
          28          20
          29          17
          30          13
          31          11
          32          10
          33           8
          34           7
          35           3
          36           2
          37           1
          38           1
          39           1
          40           1
          41           1
          42           1
          43           1
          44           1
          45           1
          46           1
          47           1
          48           1
          49           1
          50           1
          51           1
          52           1
          53           1
          54           1
          55           1
          56           1
          57           1
          58           1
          59           1
          60           1
          61           0
